"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Austin Ekeler",LAC,"1","3","1.5","0.6"
"2","Josh Jacobs",LV,"1","4","2.1","0.7"
"3","Derrick Henry",TEN,"1","6","3.8","1.3"
"4","Christian McCaffrey",SF,"1","7","3.9","1.4"
"5","Rhamondre Stevenson",NE,"3","8","5.7","1.4"
"6","Nick Chubb",CLE,"4","10","6.0","1.8"
"7","Dalvin Cook",MIN,"3","10","6.9","1.7"
"8","Saquon Barkley",NYG,"5","9","7.2","1.2"
"9","Tony Pollard",DAL,"6","10","8.5","1.1"
"10","Miles Sanders",PHI,"10","17","12.3","2.2"
"11","Travis Etienne Jr.",JAC,"10","15","12.4","1.6"
"12","Joe Mixon",CIN,"8","28","12.5","6.0"
"13","Ezekiel Elliott",DAL,"11","15","12.8","1.1"
"14","D'Andre Swift",DET,"11","19","14.6","2.3"
"15","Dameon Pierce",HOU,"12","20","15.0","2.5"
"16","Najee Harris",PIT,"15","22","16.8","1.9"
"17","James Conner",ARI,"11","26","17.0","4.2"
"18","Isiah Pacheco",KC,"14","21","17.5","1.7"
"19","Jamaal Williams",DET,"15","23","18.8","1.7"
"20","Jeff Wilson Jr.",MIA,"17","26","20.6","2.6"
"21","Latavius Murray",DEN,"16","27","21.4","2.5"
"22","D'Onta Foreman",CAR,"16","33","22.9","4.6"
"23","Zonovan Knight",NYJ,"19","30","23.6","3.8"
"24","Rachaad White",TB,"20","28","23.8","2.7"
"25","Devin Singletary",BUF,"22","31","25.8","2.7"
"26","Leonard Fournette",TB,"24","29","25.8","1.5"
"27","Cam Akers",LAR,"22","29","26.2","1.9"
"28","Raheem Mostert",MIA,"23","29","26.4","1.6"
"29","James Cook",BUF,"24","34","29.6","2.8"
"30","Samaje Perine",CIN,"22","38","30.1","4.9"
"31","Gus Edwards",BAL,"27","36","31.4","2.3"
"32","Kareem Hunt",CLE,"30","36","32.2","1.7"
"33","Jerick McKinnon",KC,"31","39","33.4","2.2"
"34","Kyren Williams",LAR,"32","40","35.6","2.1"
"35","Kenyan Drake",BAL,"31","50","37.9","4.9"
"36","Ty Johnson",NYJ,"33","49","38.9","4.7"
"37","Kenneth Gainwell",PHI,"36","43","39.5","1.7"
"38","Dontrell Hilliard",TEN,"36","48","39.9","3.1"
"39","DeeJay Dallas",SEA,"30","67","40.4","7.9"
"40","Alexander Mattison",MIN,"38","46","40.9","2.4"
"41","Chuba Hubbard",CAR,"35","51","41.5","4.7"
"42","Jaylen Warren",PIT,"38","51","42.2","2.9"
"43","Jordan Mason",SF,"37","48","42.8","2.8"
"44","Joshua Kelley",LAC,"43","52","46.5","2.2"
"45","Ameer Abdullah",LV,"45","59","48.0","3.4"
"46","Boston Scott",PHI,"43","57","48.7","3.9"
"47","Kenneth Walker III",SEA,"14","90","39.1","20.2"
"48","James Robinson",NYJ,"46","66","51.2","4.7"
"49","Matt Breida",NYG,"48","57","51.4","3.2"
"50","Mike Boone",DEN,"42","55","51.5","3.5"
