"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Travis Kelce",KC,"1","2","1.1","0.2"
"2","Mark Andrews",BAL,"1","3","2.0","0.3"
"3","T.J. Hockenson",MIN,"3","3","3.0","0.0"
"4","Pat Freiermuth",PIT,"3","6","4.3","0.7"
"5","Dalton Schultz",DAL,"4","7","5.1","0.9"
"6","George Kittle",SF,"5","7","6.2","0.5"
"7","Gerald Everett",LAC,"5","9","7.3","1.2"
"8","Greg Dulcich",DEN,"5","9","7.3","0.9"
"9","Foster Moreau",LV,"9","16","9.8","1.7"
"10","Evan Engram",JAC,"10","13","10.9","1.2"
"11","Tyler Higbee",LAR,"8","15","11.7","1.7"
"12","Dawson Knox",BUF,"11","14","12.5","1.0"
"13","Hunter Henry",NE,"10","16","13.3","1.5"
"14","Tyler Conklin",NYJ,"11","18","13.6","2.0"
"15","Noah Fant",SEA,"14","16","15.2","0.6"
"16","Daniel Bellinger",NYG,"15","21","16.3","1.4"
"17","Chigoziem Okonkwo",TEN,"10","22","18.1","2.6"
"18","Mike Gesicki",MIA,"16","22","18.5","1.9"
"19","Jordan Akins",HOU,"18","27","20.2","2.3"
"20","Austin Hooper",TEN,"18","25","20.3","1.8"
"21","Cade Otton",TB,"18","25","21.2","1.9"
"22","David Njoku",CLE,"8","36","19.0","8.0"
"23","Harrison Bryant",CLE,"21","31","24.0","2.7"
"24","Trey McBride",ARI,"22","29","25.4","2.1"
"25","Will Dissly",SEA,"21","31","23.6","2.1"
"26","Brock Wright",DET,"25","28","26.4","1.1"
"27","Jonnu Smith",NE,"22","30","26.9","1.8"
"28","Isaiah Likely",BAL,"21","35","28.4","4.6"
"29","Jack Stoll",PHI,"26","37","29.4","3.1"
"30","Cameron Brate",TB,"26","37","29.6","2.4"
"31","Jake Ferguson",DAL,"31","36","32.6","1.4"
"32","James Mitchell",DET,"30","45","35.6","5.0"
"33","Mitchell Wilcox",CIN,"25","47","33.7","5.1"
"34","C.J. Uzomah",NYJ,"32","40","34.5","2.4"
"35","Brevin Jordan",HOU,"24","43","32.4","5.5"
"36","Hayden Hurst",CIN,"30","41","33.9","3.8"
"37","Tommy Tremble",CAR,"31","40","35.0","2.9"
"38","Noah Gray",KC,"29","44","33.9","5.0"
"39","Ian Thomas",CAR,"32","39","36.1","2.1"
"40","Durham Smythe",MIA,"38","42","39.8","1.7"
"41","Jody Fortson",KC,"34","55","41.0","6.6"
"42","Colby Parkinson",SEA,"38","51","44.3","4.3"
"43","Teagan Quitoriano",HOU,"41","52","45.3","3.8"
"44","Zach Gentry",PIT,"40","49","43.8","2.9"
"45","Josh Oliver",BAL,"38","60","44.2","8.0"
"46","Peyton Hendershot",DAL,"45","50","47.2","1.7"
"47","Geoff Swaim",TEN,"45","54","48.2","3.2"
"48","Connor Heyward",PIT,"42","70","51.2","9.9"
"49","Tre' McKitty",LAC,"46","63","51.6","6.0"
"50","Ross Dwelley",SF,"32","56","40.3","11.1"
