"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Justin Jefferson",MIN,"1","2","1.1","0.2"
"2","Tyreek Hill",MIA,"2","3","2.5","0.5"
"3","Davante Adams",LV,"2","3","2.5","0.5"
"4","Stefon Diggs",BUF,"4","6","4.3","0.6"
"5","Ja'Marr Chase",CIN,"4","6","4.9","0.6"
"6","Amon-Ra St. Brown",DET,"5","7","5.9","0.6"
"7","A.J. Brown",PHI,"6","9","7.4","0.7"
"8","CeeDee Lamb",DAL,"6","8","7.5","0.7"
"9","Tee Higgins",CIN,"9","11","9.6","0.8"
"10","DeAndre Hopkins",ARI,"9","14","10.8","1.4"
"11","Jaylen Waddle",MIA,"9","14","11.6","1.2"
"12","DK Metcalf",SEA,"10","14","11.7","1.2"
"13","Keenan Allen",LAC,"10","19","14.0","1.9"
"14","Tyler Lockett",SEA,"11","18","14.9","1.8"
"15","Christian Kirk",JAC,"12","17","15.5","1.6"
"16","Amari Cooper",CLE,"12","21","15.5","2.2"
"17","Chris Godwin",TB,"13","18","15.8","1.4"
"18","Garrett Wilson",NYJ,"13","18","16.6","1.8"
"19","Mike Evans",TB,"17","22","19.4","1.1"
"20","DeVonta Smith",PHI,"18","21","19.9","0.9"
"21","Deebo Samuel",SF,"19","25","21.1","1.6"
"22","DJ Moore",CAR,"20","28","23.2","2.2"
"23","Brandon Aiyuk",SF,"21","29","24.4","2.5"
"24","JuJu Smith-Schuster",KC,"22","28","25.1","1.6"
"25","Marquise Brown",ARI,"22","28","25.4","1.9"
"26","Joshua Palmer",LAC,"22","37","25.8","4.5"
"27","Gabe Davis",BUF,"25","28","26.0","0.8"
"28","Jakobi Meyers",NE,"26","33","28.9","1.9"
"29","Adam Thielen",MIN,"25","34","30.6","2.4"
"30","George Pickens",PIT,"29","35","30.7","1.6"
"31","Diontae Johnson",PIT,"29","35","31.0","1.7"
"32","Jerry Jeudy",DEN,"23","39","31.5","5.3"
"33","Zay Jones",JAC,"31","35","32.8","1.6"
"34","Darius Slayton",NYG,"29","37","33.5","1.8"
"35","Michael Gallup",DAL,"29","40","35.4","2.5"
"36","Donovan Peoples-Jones",CLE,"33","40","36.2","2.0"
"37","Tyler Boyd",CIN,"33","42","37.4","2.3"
"38","Nico Collins",HOU,"32","42","38.1","2.3"
"39","Mack Hollins",LV,"38","48","41.7","2.8"
"40","Marquez Valdes-Scantling",KC,"39","45","41.8","1.9"
"41","Isaiah McKenzie",BUF,"40","47","42.7","1.9"
"42","Corey Davis",NYJ,"40","46","43.1","1.7"
"43","D.J. Chark Jr.",DET,"35","50","43.6","3.5"
"44","Van Jefferson",LAR,"42","50","44.3","1.7"
"45","Devin Duvernay",BAL,"46","54","49.1","2.9"
"46","Elijah Moore",NYJ,"45","54","49.6","2.1"
"47","Robert Woods",TEN,"46","54","49.6","2.6"
"48","DeAndre Carter",LAC,"45","63","50.4","4.8"
"49","Julio Jones",TB,"48","53","50.7","1.7"
"50","Treylon Burks",TEN,"32","77","42.3","12.7"
