"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jalen Hurts",PHI,"at NYG","3 out of 5 stars","A+","22.8"
"2","Patrick Mahomes",KC,"at DEN","1 out of 5 stars","A","22.8"
"3","Josh Allen",BUF,"vs. NYJ","2 out of 5 stars","A","21.9"
"4","Joe Burrow",CIN,"vs. CLE","4 out of 5 stars","A","21.3"
"5","Justin Herbert",LAC,"vs. MIA","4 out of 5 stars","A","20.5"
"6","Tua Tagovailoa",MIA,"at LAC","4 out of 5 stars","A","19.7"
"7","Dak Prescott",DAL,"vs. HOU","2 out of 5 stars","B+","19.1"
"8","Geno Smith",SEA,"vs. CAR","2 out of 5 stars","B","18.8"
"9","Kyler Murray",ARI,"vs. NE","3 out of 5 stars","B","18.4"
"10","Kirk Cousins",MIN,"at DET","4 out of 5 stars","B","18.0"
"11","Jared Goff",DET,"vs. MIN","4 out of 5 stars","B","17.6"
"12","Trevor Lawrence",JAC,"at TEN","3 out of 5 stars","B-","17.2"
"13","Derek Carr",LV,"at LAR","3 out of 5 stars","B-","16.8"
"14","Deshaun Watson",CLE,"at CIN","2 out of 5 stars","C+","16.3"
"15","Daniel Jones",NYG,"vs. PHI","1 out of 5 stars","C","16.0"
"16","Tom Brady",TB,"at SF","2 out of 5 stars","C","15.7"
"17","Tyler Huntley",BAL,"at PIT","4 out of 5 stars","C","15.4"
"18","Mike White",NYJ,"at BUF","3 out of 5 stars","C","15.2"
"19","Ryan Tannehill",TEN,"vs. JAC","4 out of 5 stars","C-","14.9"
"20","Mac Jones",NE,"at ARI","4 out of 5 stars","D+","14.6"
"21","Kenny Pickett",PIT,"vs. BAL","3 out of 5 stars","D","14.3"
"22","Russell Wilson",DEN,"vs. KC","4 out of 5 stars","D-","14.0"
"23","Brock Purdy",SF,"vs. TB","3 out of 5 stars","F","13.6"
"24","Sam Darnold",CAR,"at SEA","4 out of 5 stars","F","12.9"
"25","John Wolford",LAR,"vs. LV","5 out of 5 stars","F","12.3"
"26","Kyle Allen",HOU,"at DAL","2 out of 5 stars","F","10.7"
"27","Bryce Perkins",LAR,"vs. LV","5 out of 5 stars","F","1.0"
"28","Davis Mills",HOU,"at DAL","2 out of 5 stars","F","1.0"
"29","Jacoby Brissett",CLE,"at CIN","2 out of 5 stars","F","1.0"
"30","Lamar Jackson",BAL,"at PIT","4 out of 5 stars","F","0.9"
"31","Malik Willis",TEN,"vs. JAC","4 out of 5 stars","F","0.9"
"32","Bailey Zappe",NE,"at ARI","4 out of 5 stars","F","0.9"
"33","Joe Flacco",NYJ,"at BUF","3 out of 5 stars","F","0.9"
"34","PJ Walker",CAR,"at SEA","4 out of 5 stars","F","0.9"
"35","Josh Johnson",SF,"vs. TB","3 out of 5 stars","F","0.9"
