"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Austin Ekeler",LAC,"vs. MIA","2 out of 5 stars","A+","17.5"
"2","Josh Jacobs",LV,"at LAR","3 out of 5 stars","A+","17.3"
"3","Derrick Henry",TEN,"vs. JAC","4 out of 5 stars","A","17.2"
"4","Christian McCaffrey",SF,"vs. TB","3 out of 5 stars","A","16.2"
"5","Rhamondre Stevenson",NE,"at ARI","4 out of 5 stars","A","16.1"
"6","Nick Chubb",CLE,"at CIN","3 out of 5 stars","A","15.7"
"7","Dalvin Cook",MIN,"at DET","4 out of 5 stars","A","15.2"
"8","Saquon Barkley",NYG,"vs. PHI","4 out of 5 stars","A","15.2"
"9","Tony Pollard",DAL,"vs. HOU","4 out of 5 stars","A","14.7"
"10","Miles Sanders",PHI,"at NYG","3 out of 5 stars","A-","13.9"
"11","Travis Etienne Jr.",JAC,"at TEN","2 out of 5 stars","A-","12.9"
"12","Joe Mixon",CIN,"vs. CLE","4 out of 5 stars","A-","12.8"
"13","Ezekiel Elliott",DAL,"vs. HOU","4 out of 5 stars","B+","12.5"
"14","D'Andre Swift",DET,"vs. MIN","3 out of 5 stars","B+","11.9"
"15","Dameon Pierce",HOU,"at DAL","3 out of 5 stars","B","11.5"
"16","Najee Harris",PIT,"vs. BAL","3 out of 5 stars","B","11.1"
"17","James Conner",ARI,"vs. NE","2 out of 5 stars","B","11.0"
"18","Isiah Pacheco",KC,"at DEN","3 out of 5 stars","B","10.9"
"19","Jamaal Williams",DET,"vs. MIN","3 out of 5 stars","B","10.6"
"20","Jeff Wilson Jr.",MIA,"at LAC","4 out of 5 stars","B-","10.5"
"21","Latavius Murray",DEN,"vs. KC","3 out of 5 stars","B-","10.2"
"22","D'Onta Foreman",CAR,"at SEA","5 out of 5 stars","C+","10.1"
"23","Zonovan Knight",NYJ,"at BUF","3 out of 5 stars","C+","10.1"
"24","Rachaad White",TB,"at SF","1 out of 5 stars","C+","9.9"
"25","Devin Singletary",BUF,"vs. NYJ","3 out of 5 stars","C+","9.2"
"26","Leonard Fournette",TB,"at SF","1 out of 5 stars","C+","8.8"
"27","Cam Akers",LAR,"vs. LV","3 out of 5 stars","C","8.4"
"28","Raheem Mostert",MIA,"at LAC","4 out of 5 stars","C","7.7"
"29","James Cook",BUF,"vs. NYJ","3 out of 5 stars","C","7.7"
"30","Samaje Perine",CIN,"vs. CLE","4 out of 5 stars","C","7.6"
"31","Gus Edwards",BAL,"at PIT","2 out of 5 stars","C","7.5"
"32","Kareem Hunt",CLE,"at CIN","3 out of 5 stars","C","7.1"
"33","Jerick McKinnon",KC,"at DEN","3 out of 5 stars","C","7.0"
"34","Kyren Williams",LAR,"vs. LV","3 out of 5 stars","C-","6.7"
"35","Kenyan Drake",BAL,"at PIT","2 out of 5 stars","C-","6.6"
"36","Ty Johnson",NYJ,"at BUF","3 out of 5 stars","C-","6.4"
"37","Kenneth Gainwell",PHI,"at NYG","3 out of 5 stars","D+","6.1"
"38","Dontrell Hilliard",TEN,"vs. JAC","4 out of 5 stars","D+","6.1"
"39","DeeJay Dallas",SEA,"vs. CAR","4 out of 5 stars","D+","6.0"
"40","Alexander Mattison",MIN,"at DET","4 out of 5 stars","D","5.4"
"41","Chuba Hubbard",CAR,"at SEA","5 out of 5 stars","D","5.0"
"42","Jaylen Warren",PIT,"vs. BAL","3 out of 5 stars","D","5.0"
"43","Jordan Mason",SF,"vs. TB","3 out of 5 stars","D","4.8"
"44","Joshua Kelley",LAC,"vs. MIA","2 out of 5 stars","D-","4.6"
"45","Ameer Abdullah",LV,"at LAR","3 out of 5 stars","D-","4.5"
"46","Boston Scott",PHI,"at NYG","3 out of 5 stars","F","4.4"
"47","Kenneth Walker",SEA,"vs. CAR","4 out of 5 stars","C-","4.4"
"48","James Robinson",NYJ,"at BUF","3 out of 5 stars","F","4.4"
"49","Matt Breida",NYG,"vs. PHI","4 out of 5 stars","F","4.1"
