"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"at DEN","2 out of 5 stars","A+","14.4"
"2","Mark Andrews",BAL,"at PIT","3 out of 5 stars","A","10.7"
"3","T.J. Hockenson",MIN,"at DET","3 out of 5 stars","A","10.4"
"4","Pat Freiermuth",PIT,"vs. BAL","4 out of 5 stars","A-","9.1"
"5","Dalton Schultz",DAL,"vs. HOU","3 out of 5 stars","B+","8.4"
"6","George Kittle",SF,"vs. TB","3 out of 5 stars","B","8.0"
"7","Gerald Everett",LAC,"vs. MIA","4 out of 5 stars","B-","7.7"
"8","Greg Dulcich",DEN,"vs. KC","4 out of 5 stars","B","7.5"
"9","Foster Moreau",LV,"at LAR","2 out of 5 stars","C+","7.1"
"10","Evan Engram",JAC,"at TEN","3 out of 5 stars","C","6.7"
"11","Tyler Higbee",LAR,"vs. LV","5 out of 5 stars","C","6.2"
"12","Dawson Knox",BUF,"vs. NYJ","2 out of 5 stars","C","6.0"
"13","Hunter Henry",NE,"at ARI","4 out of 5 stars","C","5.9"
"14","Tyler Conklin",NYJ,"at BUF","1 out of 5 stars","C","5.8"
"15","Noah Fant",SEA,"vs. CAR","3 out of 5 stars","C-","5.8"
"16","Daniel Bellinger",NYG,"vs. PHI","3 out of 5 stars","D+","5.8"
"17","Chigoziem Okonkwo",TEN,"vs. JAC","3 out of 5 stars","D+","5.7"
"18","Mike Gesicki",MIA,"at LAC","3 out of 5 stars","D","5.7"
"19","Jordan Akins",HOU,"at DAL","1 out of 5 stars","D","5.6"
"20","Austin Hooper",TEN,"vs. JAC","3 out of 5 stars","D-","4.7"
"21","Cade Otton",TB,"at SF","2 out of 5 stars","D-","4.6"
"22","David Njoku",CLE,"at CIN","2 out of 5 stars","D","4.2"
"23","Harrison Bryant",CLE,"at CIN","2 out of 5 stars","F","4.1"
"24","Trey McBride",ARI,"vs. NE","4 out of 5 stars","F","4.0"
"25","Will Dissly",SEA,"vs. CAR","3 out of 5 stars","F","4.0"
"26","Brock Wright",DET,"vs. MIN","4 out of 5 stars","F","4.0"
"27","Jonnu Smith",NE,"at ARI","4 out of 5 stars","F","4.0"
"28","Isaiah Likely",BAL,"at PIT","3 out of 5 stars","F","3.9"
"29","Jack Stoll",PHI,"at NYG","4 out of 5 stars","F","3.8"
"30","Cameron Brate",TB,"at SF","2 out of 5 stars","F","3.8"
"31","Jake Ferguson",DAL,"vs. HOU","3 out of 5 stars","F","3.7"
"32","James Mitchell",DET,"vs. MIN","4 out of 5 stars","F","3.7"
"33","Mitchell Wilcox",CIN,"vs. CLE","3 out of 5 stars","F","3.7"
"34","C.J. Uzomah",NYJ,"at BUF","1 out of 5 stars","F","3.2"
"35","Brevin Jordan",HOU,"at DAL","1 out of 5 stars","F","3.0"
"36","Hayden Hurst",CIN,"vs. CLE","3 out of 5 stars","F","2.9"
"37","Tommy Tremble",CAR,"at SEA","4 out of 5 stars","F","2.9"
"38","Noah Gray",KC,"at DEN","2 out of 5 stars","F","2.8"
"39","Ian Thomas",CAR,"at SEA","4 out of 5 stars","F","2.7"
"40","Durham Smythe",MIA,"at LAC","3 out of 5 stars","F","2.7"
"41","Jody Fortson",KC,"at DEN","2 out of 5 stars","F","2.6"
"42","Colby Parkinson",SEA,"vs. CAR","3 out of 5 stars","F","2.5"
"43","Teagan Quitoriano",HOU,"at DAL","1 out of 5 stars","F","2.4"
"44","Zach Gentry",PIT,"vs. BAL","4 out of 5 stars","F","2.4"
"45","Josh Oliver",BAL,"at PIT","3 out of 5 stars","F","2.3"
"46","Peyton Hendershot",DAL,"vs. HOU","3 out of 5 stars","F","2.3"
"47","Geoff Swaim",TEN,"vs. JAC","3 out of 5 stars","F","2.3"
"48","Connor Heyward",PIT,"vs. BAL","4 out of 5 stars","F","2.3"
"49","Tre' McKitty",LAC,"vs. MIA","4 out of 5 stars","F","2.2"
"50","Ross Dwelley",SF,"vs. TB","3 out of 5 stars","F","2.1"
"51","Johnny Mundt",MIN,"at DET","3 out of 5 stars","F","1.9"
"52","Brycen Hopkins",LAR,"vs. LV","5 out of 5 stars","F","1.9"
"53","O.J. Howard",HOU,"at DAL","1 out of 5 stars","F","1.9"
"54","Quintin Morris",BUF,"vs. NYJ","2 out of 5 stars","F","1.8"
"55","Grant Calcaterra",PHI,"at NYG","4 out of 5 stars","F","1.8"
"56","Stone Smartt",LAC,"vs. MIA","4 out of 5 stars","F","1.8"
"57","Ko Kieft",TB,"at SF","2 out of 5 stars","F","1.7"
"58","Shane Zylstra",DET,"vs. MIN","4 out of 5 stars","F","1.6"
"59","Chris Myarick",NYG,"vs. PHI","3 out of 5 stars","F","1.6"
"60","Pharaoh Brown",CLE,"at CIN","2 out of 5 stars","F","1.6"
"61","Dan Arnold",JAC,"at TEN","3 out of 5 stars","F","1.6"
"62","Eric Saubert",DEN,"vs. KC","4 out of 5 stars","F","1.6"
"63","Richard Rodgers",LAC,"vs. MIA","4 out of 5 stars","F","1.6"
"64","Eric Tomlinson",DEN,"vs. KC","4 out of 5 stars","F","1.5"
"65","Tyler Kroft",SF,"vs. TB","3 out of 5 stars","F","1.5"
"66","Nick Vannett",NYG,"vs. PHI","3 out of 5 stars","F","1.4"
"67","Nick Boyle",BAL,"at PIT","3 out of 5 stars","F","1.3"
"68","Chris Manhertz",JAC,"at TEN","3 out of 5 stars","F","1.2"
"69","Tyree Jackson",PHI,"at NYG","4 out of 5 stars","F","1.0"
