"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Justin Jefferson",MIN,"at DET","2 out of 5 stars","A+","17.9"
"2","Tyreek Hill",MIA,"at LAC","3 out of 5 stars","A+","17.7"
"3","Davante Adams",LV,"at LAR","4 out of 5 stars","A+","17.1"
"4","Stefon Diggs",BUF,"vs. NYJ","3 out of 5 stars","A+","16.0"
"5","Jamarr Chase",CIN,"vs. CLE","4 out of 5 stars","A+","16.0"
"6","Amonra St. Brown",DET,"vs. MIN","3 out of 5 stars","A+","15.5"
"7","A.J. Brown",PHI,"at NYG","2 out of 5 stars","A","14.3"
"8","Ceedee Lamb",DAL,"vs. HOU","3 out of 5 stars","A","13.4"
"9","Tee Higgins",CIN,"vs. CLE","4 out of 5 stars","A","13.1"
"10","Deandre Hopkins",ARI,"vs. NE","4 out of 5 stars","A","13.0"
"11","Jaylen Waddle",MIA,"at LAC","3 out of 5 stars","A","12.9"
"12","DK Metcalf",SEA,"vs. CAR","3 out of 5 stars","A","12.3"
"13","Keenan Allen",LAC,"vs. MIA","2 out of 5 stars","A","12.1"
"14","Tyler Lockett",SEA,"vs. CAR","3 out of 5 stars","A","12.0"
"15","Christian Kirk",JAC,"at TEN","3 out of 5 stars","A","11.7"
"16","Amari Cooper",CLE,"at CIN","3 out of 5 stars","A-","11.7"
"17","Chris Godwin",TB,"at SF","3 out of 5 stars","A","11.4"
"18","Garrett Wilson",NYJ,"at BUF","3 out of 5 stars","A","11.0"
"19","Mike Evans",TB,"at SF","3 out of 5 stars","A-","11.0"
"20","Devonta Smith",PHI,"at NYG","2 out of 5 stars","A-","10.6"
"21","Deebo Samuel",SF,"vs. TB","3 out of 5 stars","B+","10.5"
"22","DJ Moore",CAR,"at SEA","3 out of 5 stars","B+","10.4"
"23","Brandon Aiyuk",SF,"vs. TB","3 out of 5 stars","B","10.4"
"24","Juju Smith Schuster",KC,"at DEN","2 out of 5 stars","B","10.3"
"25","Marquise Brown",ARI,"vs. NE","4 out of 5 stars","B","10.0"
"26","Joshua Palmer",LAC,"vs. MIA","2 out of 5 stars","B","9.9"
"27","Gabe Davis",BUF,"vs. NYJ","3 out of 5 stars","B","9.6"
"28","Jakobi Meyers",NE,"at ARI","4 out of 5 stars","B","9.5"
"29","Adam Thielen",MIN,"at DET","2 out of 5 stars","B","9.4"
"30","George Pickens",PIT,"vs. BAL","3 out of 5 stars","B-","9.2"
"31","Diontae Johnson",PIT,"vs. BAL","3 out of 5 stars","B-","9.0"
"32","Jerry Jeudy",DEN,"vs. KC","4 out of 5 stars","B","9.0"
"33","Zay Jones",JAC,"at TEN","3 out of 5 stars","B-","8.9"
"34","Darius Slayton",NYG,"vs. PHI","2 out of 5 stars","B-","8.7"
"35","Michael Gallup",DAL,"vs. HOU","3 out of 5 stars","C+","8.7"
"36","Donovan Peoples Jones",CLE,"at CIN","3 out of 5 stars","C+","8.6"
"37","Tyler Boyd",CIN,"vs. CLE","4 out of 5 stars","C+","8.5"
"38","Nico Collins",HOU,"at DAL","4 out of 5 stars","C+","8.3"
"39","Mack Hollins",LV,"at LAR","4 out of 5 stars","C","8.3"
"40","Marquez Valdes Scantling",KC,"at DEN","2 out of 5 stars","C","8.1"
"41","Isaiah Mckenzie",BUF,"vs. NYJ","3 out of 5 stars","C","7.9"
"42","Corey Davis",NYJ,"at BUF","3 out of 5 stars","C","7.9"
"43","D.J. Chark Jr.",DET,"vs. MIN","3 out of 5 stars","C","7.8"
"44","Van Jefferson",LAR,"vs. LV","4 out of 5 stars","C","7.5"
"45","Devin Duvernay",BAL,"at PIT","3 out of 5 stars","C","7.5"
"46","Elijah Moore",NYJ,"at BUF","3 out of 5 stars","C","7.4"
"47","Robert Woods",TEN,"vs. JAC","3 out of 5 stars","C","7.4"
"48","DeAndre Carter",LAC,"vs. MIA","2 out of 5 stars","C","7.2"
"49","Julio Jones",TB,"at SF","3 out of 5 stars","C","7.2"
"50","Treylon Burks",TEN,"vs. JAC","3 out of 5 stars","C","7.2"
"51","Marvin Jones Jr.",JAC,"at TEN","3 out of 5 stars","C-","7.1"
"52","Demarcus Robinson",BAL,"at PIT","3 out of 5 stars","C-","6.5"
"53","Devante Parker",NE,"at ARI","4 out of 5 stars","C-","6.4"
"54","Courtland Sutton",DEN,"vs. KC","4 out of 5 stars","C","6.2"
"55","Nick Westbrook-Ikhine",TEN,"vs. JAC","3 out of 5 stars","D+","6.1"
"56","Chris Moore",HOU,"at DAL","4 out of 5 stars","D+","6.0"
"57","Rondale Moore",ARI,"vs. NE","4 out of 5 stars","D+","6.0"
"58","Quez Watkins",PHI,"at NYG","2 out of 5 stars","D","5.9"
"59","K.J. Osborn",MIN,"at DET","2 out of 5 stars","D","5.9"
"60","Terrace Marshall Jr.",CAR,"at SEA","3 out of 5 stars","D+","5.8"
"61","Mike Williams",LAC,"vs. MIA","2 out of 5 stars","C-","5.8"
"62","Richie James Jr.",NYG,"vs. PHI","2 out of 5 stars","D","5.7"
"63","Nelson Agholor",NE,"at ARI","4 out of 5 stars","D","5.7"
"64","Skyy Moore",KC,"at DEN","2 out of 5 stars","D-","5.6"
"65","Kendall Hinton",DEN,"vs. KC","4 out of 5 stars","D","5.5"
"66","Isaiah Hodgins",NYG,"vs. PHI","2 out of 5 stars","D-","5.4"
"67","Kalif Raymond",DET,"vs. MIN","3 out of 5 stars","D-","5.4"
"68","Trent Sherfield",MIA,"at LAC","3 out of 5 stars","D","5.4"
"69","Ben Skowronek",LAR,"vs. LV","4 out of 5 stars","D-","5.3"
"70","Noah Brown",DAL,"vs. HOU","3 out of 5 stars","D-","5.3"
"71","Tutu Atwell",LAR,"vs. LV","4 out of 5 stars","D-","5.3"
"72","Marquise Goodwin",SEA,"vs. CAR","3 out of 5 stars","F","5.3"
"73","Josh Reynolds",DET,"vs. MIN","3 out of 5 stars","F","5.3"
"74","Jauan Jennings",SF,"vs. TB","3 out of 5 stars","F","5.1"
"75","Jameson Williams",DET,"vs. MIN","3 out of 5 stars","F","5.1"
"76","Brandon Powell",LAR,"vs. LV","4 out of 5 stars","F","5.0"
"77","Justin Watson",KC,"at DEN","2 out of 5 stars","F","4.9"
"78","David Bell",CLE,"at CIN","3 out of 5 stars","F","4.7"
"79","Kendrick Bourne",NE,"at ARI","4 out of 5 stars","F","4.7"
"80","Tyquan Thornton",NE,"at ARI","4 out of 5 stars","F","4.6"
"81","DeSean Jackson",BAL,"at PIT","3 out of 5 stars","F","4.6"
"82","Jamal Agnew",JAC,"at TEN","3 out of 5 stars","F","4.4"
"83","Brandin Cooks",HOU,"at DAL","4 out of 5 stars","F","4.3"
"84","Braxton Berrios",NYJ,"at BUF","3 out of 5 stars","F","4.1"
"85","Keelan Cole Sr.",LV,"at LAR","4 out of 5 stars","F","4.0"
"86","Phillip Dorsett II",HOU,"at DAL","4 out of 5 stars","F","4.0"
"87","Greg Dortch",ARI,"vs. NE","4 out of 5 stars","F","4.0"
"88","Steven Sims Jr.",PIT,"vs. BAL","3 out of 5 stars","F","4.0"
"89","Denzel Mims",NYJ,"at BUF","3 out of 5 stars","F","3.9"
"90","Khalil Shakir",BUF,"vs. NYJ","3 out of 5 stars","F","3.9"
"91","Zach Pascal",PHI,"at NYG","2 out of 5 stars","F","3.8"
"92","James Proche II",BAL,"at PIT","3 out of 5 stars","F","3.8"
