"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Brett Maher",DAL,"1","3","1.9","0.8"
"2","Justin Tucker",BAL,"1","12","3.5","3.2"
"3","Tyler Bass",BUF,"1","6","3.9","1.5"
"4","Daniel Carlson",LV,"2","7","4.2","1.3"
"5","Harrison Butker",KC,"3","7","4.5","1.2"
"6","Evan McPherson",CIN,"2","7","5.4","1.7"
"7","Jason Myers",SEA,"3","8","5.8","1.3"
"8","Nick Folk",NE,"8","11","8.5","1.0"
"9","Cameron Dicker",LAC,"5","12","9.2","1.6"
"10","Greg Joseph",MIN,"8","13","10.4","1.2"
"11","Jason Sanders",MIA,"9","16","11.5","1.8"
"12","Michael Badgley",DET,"9","16","12.4","2.1"
"13","Ryan Succop",TB,"9","19","13.5","3.0"
"14","Jake Elliott",PHI,"10","19","15.0","2.3"
"15","Graham Gano",NYG,"14","18","15.5","1.3"
"16","Robbie Gould",SF,"13","19","16.0","1.6"
"17","Cade York",CLE,"12","19","16.5","2.0"
"18","Greg Zuerlein",NYJ,"13","22","16.9","3.1"
"19","Matthew Wright",PIT,"16","23","18.8","2.0"
"20","Randy Bullock",TEN,"13","24","20.0","3.0"
"21","Matt Prater",ARI,"14","26","20.9","3.1"
"22","Brandon McManus",DEN,"19","23","20.9","1.4"
"23","Riley Patterson",JAC,"20","25","22.7","1.7"
"24","Matt Gay",LAR,"21","26","23.3","1.4"
"25","Eddy Pineiro",CAR,"22","26","24.3","1.1"
"26","Ka'imi Fairbairn",HOU,"25","28","26.0","0.7"
"27","Chris Boswell",PIT,"13","27","21.3","6.0"
