"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Jalen Hurts",PHI,"1","1","1.0","0.0"
"2","Patrick Mahomes II",KC,"2","4","2.5","0.8"
"3","Josh Allen",BUF,"2","4","2.9","0.5"
"4","Joe Burrow",CIN,"2","6","3.8","0.9"
"5","Justin Herbert",LAC,"4","6","4.9","0.5"
"6","Tua Tagovailoa",MIA,"5","7","5.9","0.5"
"7","Dak Prescott",DAL,"7","10","7.7","1.0"
"8","Geno Smith",SEA,"7","11","8.7","1.1"
"9","Kyler Murray",ARI,"7","10","8.8","0.8"
"10","Kirk Cousins",MIN,"7","12","9.5","1.1"
"11","Jared Goff",DET,"7","14","10.5","1.5"
"12","Trevor Lawrence",JAC,"11","15","12.5","0.8"
"13","Derek Carr",LV,"12","14","12.7","0.6"
"14","Deshaun Watson",CLE,"11","17","14.5","1.3"
"15","Daniel Jones",NYG,"14","20","15.7","1.7"
"16","Tom Brady",TB,"15","18","16.2","1.1"
"17","Tyler Huntley",BAL,"14","21","16.9","1.8"
"18","Mike White",NYJ,"16","20","17.6","1.1"
"19","Ryan Tannehill",TEN,"16","20","18.4","1.4"
"20","Mac Jones",NE,"18","21","19.6","0.8"
"21","Kenny Pickett",PIT,"19","23","20.9","0.9"
"22","Russell Wilson",DEN,"20","23","21.8","0.6"
"23","Brock Purdy",SF,"22","24","23.4","0.7"
"24","Sam Darnold",CAR,"21","25","23.8","1.0"
"25","John Wolford",LAR,"23","26","24.9","1.1"
"26","Kyle Allen",HOU,"25","26","25.5","0.5"
"27","Bryce Perkins",LAR,"27","28","27.3","0.4"
"28","Davis Mills",HOU,"27","29","28.0","0.7"
"29","Jacoby Brissett",CLE,"29","30","29.3","0.5"
"30","Lamar Jackson",BAL,"28","31","29.8","1.0"
"31","Malik Willis",TEN,"30","31","30.6","0.5"
"32","Bailey Zappe",NE,"32","32","32.0","0.0"
"33","Joe Flacco",NYJ,"32","33","32.8","0.4"
"34","PJ Walker",CAR,"33","34","33.8","0.4"
"35","Josh Johnson",SF,"34","35","34.8","0.4"
