"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Austin Ekeler",LAC,"1","2","1.4","0.5"
"2","Josh Jacobs",LV,"1","3","2.0","0.6"
"3","Christian McCaffrey",SF,"1","6","3.3","1.1"
"4","Derrick Henry",TEN,"3","9","5.1","2.0"
"5","Rhamondre Stevenson",NE,"3","8","5.8","1.3"
"6","Saquon Barkley",NYG,"5","8","5.8","1.0"
"7","Tony Pollard",DAL,"5","9","7.3","1.4"
"8","Dalvin Cook",MIN,"4","11","7.6","1.7"
"9","Nick Chubb",CLE,"4","13","8.1","2.3"
"10","Travis Etienne Jr.",JAC,"9","14","10.7","1.4"
"11","D'Andre Swift",DET,"9","18","12.4","2.7"
"12","Ezekiel Elliott",DAL,"10","15","12.8","1.2"
"13","Miles Sanders",PHI,"12","17","13.6","1.9"
"14","Joe Mixon",CIN,"8","32","13.9","7.1"
"15","Dameon Pierce",HOU,"14","23","16.0","2.5"
"16","Najee Harris",PIT,"15","21","16.8","1.9"
"17","James Conner",ARI,"10","26","16.8","4.5"
"18","Isiah Pacheco",KC,"16","21","18.1","1.6"
"19","Latavius Murray",DEN,"15","26","19.3","2.4"
"20","Jeff Wilson Jr.",MIA,"16","25","19.9","2.5"
"21","Jamaal Williams",DET,"17","22","20.0","1.4"
"22","Rachaad White",TB,"20","29","23.0","2.6"
"23","Leonard Fournette",TB,"22","30","24.9","1.9"
"24","Samaje Perine",CIN,"18","38","25.2","5.6"
"25","James Cook",BUF,"21","31","26.5","2.8"
"26","D'Onta Foreman",CAR,"18","34","26.6","4.2"
"27","Devin Singletary",BUF,"22","33","26.9","3.8"
"28","Zonovan Knight",NYJ,"18","34","27.1","4.9"
"29","Cam Akers",LAR,"23","33","28.8","2.9"
"30","Jerick McKinnon",KC,"26","39","29.4","4.0"
"31","Kareem Hunt",CLE,"26","36","30.5","2.5"
"32","Raheem Mostert",MIA,"28","34","30.9","2.0"
"33","Gus Edwards",BAL,"31","37","34.4","1.6"
"34","Kyren Williams",LAR,"32","43","36.4","3.1"
"35","Kenyan Drake",BAL,"30","49","36.8","5.5"
"36","Ty Johnson",NYJ,"29","49","37.4","5.6"
"37","DeeJay Dallas",SEA,"25","67","39.1","8.6"
"38","Dontrell Hilliard",TEN,"36","46","39.1","2.5"
"39","Kenneth Gainwell",PHI,"36","43","40.0","1.8"
"40","Chuba Hubbard",CAR,"33","50","41.3","4.6"
"41","Alexander Mattison",MIN,"38","47","41.8","2.5"
"42","Jordan Mason",SF,"37","50","43.3","3.2"
"43","Jaylen Warren",PIT,"39","52","43.9","3.0"
"44","Ameer Abdullah",LV,"40","58","44.2","4.2"
"45","Joshua Kelley",LAC,"46","51","47.4","1.7"
"46","Kenneth Walker III",SEA,"15","90","41.2","19.3"
"47","Boston Scott",PHI,"45","58","50.4","3.9"
"48","Matt Breida",NYG,"49","58","52.1","3.0"
"49","Justin Jackson",DET,"49","66","52.1","4.3"
"50","Mike Boone",DEN,"44","57","52.3","3.3"
