"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Travis Kelce",KC,"1","2","1.2","0.4"
"2","Mark Andrews",BAL,"1","3","2.0","0.3"
"3","T.J. Hockenson",MIN,"3","3","3.0","0.0"
"4","Pat Freiermuth",PIT,"3","5","4.2","0.5"
"5","Dalton Schultz",DAL,"4","7","5.1","0.8"
"6","George Kittle",SF,"6","7","6.3","0.4"
"7","Gerald Everett",LAC,"5","9","7.4","1.2"
"8","Greg Dulcich",DEN,"6","9","7.4","0.8"
"9","Foster Moreau",LV,"9","11","9.6","0.8"
"10","Evan Engram",JAC,"10","13","10.8","1.1"
"11","Tyler Higbee",LAR,"8","17","11.8","2.0"
"12","Tyler Conklin",NYJ,"10","16","12.9","1.5"
"13","Dawson Knox",BUF,"12","16","13.6","1.7"
"14","Noah Fant",SEA,"13","15","14.0","0.6"
"15","Hunter Henry",NE,"11","18","14.3","2.0"
"16","Daniel Bellinger",NYG,"15","21","16.5","1.8"
"17","Mike Gesicki",MIA,"16","22","18.0","1.9"
"18","Chigoziem Okonkwo",TEN,"11","24","18.8","2.6"
"19","Austin Hooper",TEN,"17","25","19.4","2.3"
"20","Jordan Akins",HOU,"18","27","20.6","2.4"
"21","Cade Otton",TB,"18","25","21.2","1.9"
"22","David Njoku",CLE,"8","36","19.5","8.0"
"23","Harrison Bryant",CLE,"21","31","23.6","2.6"
"24","Will Dissly",SEA,"22","24","22.9","0.5"
"25","Trey McBride",ARI,"22","29","25.8","2.1"
"26","Jonnu Smith",NE,"23","30","26.3","1.6"
"27","Brock Wright",DET,"25","28","26.9","0.9"
"28","Isaiah Likely",BAL,"23","35","28.5","3.5"
"29","Jack Stoll",PHI,"26","36","29.1","2.9"
"30","Cameron Brate",TB,"26","37","30.0","2.5"
"31","Jake Ferguson",DAL,"31","37","33.1","1.5"
"32","James Mitchell",DET,"31","45","35.7","5.0"
"33","Mitchell Wilcox",CIN,"25","47","33.7","5.1"
"34","C.J. Uzomah",NYJ,"32","39","34.4","2.4"
"35","Hayden Hurst",CIN,"29","41","33.9","4.3"
"36","Brevin Jordan",HOU,"29","43","33.4","4.9"
"37","Tommy Tremble",CAR,"31","40","35.4","2.9"
"38","Ian Thomas",CAR,"32","38","35.9","2.0"
"39","Noah Gray",KC,"29","44","35.0","4.8"
"40","Durham Smythe",MIA,"38","42","39.5","1.8"
"41","Jody Fortson",KC,"35","55","42.0","6.2"
"42","Colby Parkinson",SEA,"38","51","44.0","4.3"
"43","Teagan Quitoriano",HOU,"39","52","45.0","4.2"
"44","Zach Gentry",PIT,"40","49","43.8","2.9"
"45","Josh Oliver",BAL,"40","60","44.6","7.7"
"46","Peyton Hendershot",DAL,"45","50","47.4","1.7"
"47","Geoff Swaim",TEN,"45","53","48.0","2.8"
"48","Connor Heyward",PIT,"42","69","51.0","9.6"
"49","Tre' McKitty",LAC,"46","62","51.2","5.6"
"50","Ross Dwelley",SF,"32","56","40.0","11.3"
