"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Justin Jefferson",MIN,"1","2","1.1","0.2"
"2","Davante Adams",LV,"2","2","2.0","0.0"
"3","Tyreek Hill",MIA,"3","3","3.0","0.0"
"4","Stefon Diggs",BUF,"4","6","4.3","0.6"
"5","Amon-Ra St. Brown",DET,"4","6","5.0","0.5"
"6","Ja'Marr Chase",CIN,"5","8","6.0","0.9"
"7","CeeDee Lamb",DAL,"7","8","7.6","0.5"
"8","A.J. Brown",PHI,"7","10","7.7","0.9"
"9","Tee Higgins",CIN,"9","11","10.0","0.6"
"10","Jaylen Waddle",MIA,"8","14","10.6","1.6"
"11","DeAndre Hopkins",ARI,"9","15","10.9","1.7"
"12","DK Metcalf",SEA,"9","15","12.7","1.8"
"13","Keenan Allen",LAC,"11","17","12.8","1.6"
"14","Chris Godwin",TB,"13","17","14.9","1.5"
"15","Christian Kirk",JAC,"12","17","15.3","1.6"
"16","Amari Cooper",CLE,"12","18","15.7","1.6"
"17","Tyler Lockett",SEA,"13","18","15.8","1.5"
"18","Garrett Wilson",NYJ,"13","18","16.6","1.8"
"19","DeVonta Smith",PHI,"19","20","19.3","0.5"
"20","Mike Evans",TB,"19","24","20.9","1.2"
"21","DJ Moore",CAR,"19","27","21.9","2.4"
"22","JuJu Smith-Schuster",KC,"21","24","22.5","1.1"
"23","Joshua Palmer",LAC,"21","37","24.1","3.9"
"24","Marquise Brown",ARI,"21","27","24.5","1.7"
"25","Jakobi Meyers",NE,"21","30","25.0","2.6"
"26","Diontae Johnson",PIT,"24","29","26.4","1.5"
"27","Brandon Aiyuk",SF,"20","31","26.9","2.4"
"28","Zay Jones",JAC,"27","34","29.7","2.0"
"29","Deebo Samuel",SF,"25","35","29.9","3.1"
"30","George Pickens",PIT,"27","34","30.3","1.6"
"31","Adam Thielen",MIN,"27","34","30.8","2.0"
"32","Darius Slayton",NYG,"26","37","30.9","2.4"
"33","Jerry Jeudy",DEN,"23","38","31.3","4.9"
"34","Gabe Davis",BUF,"31","34","32.6","0.9"
"35","Tyler Boyd",CIN,"33","40","36.3","1.9"
"36","Michael Gallup",DAL,"34","41","36.8","1.8"
"37","Nico Collins",HOU,"34","42","37.4","2.3"
"38","Donovan Peoples-Jones",CLE,"35","42","37.6","2.2"
"39","Isaiah McKenzie",BUF,"38","45","40.1","1.8"
"40","Mack Hollins",LV,"37","47","41.8","2.5"
"41","Marquez Valdes-Scantling",KC,"40","47","43.4","2.2"
"42","Van Jefferson",LAR,"41","46","43.6","1.6"
"43","Corey Davis",NYJ,"41","47","43.8","1.8"
"44","D.J. Chark Jr.",DET,"35","52","44.3","3.7"
"45","Devin Duvernay",BAL,"43","51","46.8","2.8"
"46","DeAndre Carter",LAC,"43","63","48.5","4.9"
"47","Treylon Burks",TEN,"34","78","43.9","12.8"
"48","Robert Woods",TEN,"46","54","49.4","2.4"
"49","Elijah Moore",NYJ,"46","54","51.4","2.3"
"50","Marvin Jones Jr.",JAC,"48","58","51.8","2.3"
