"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Austin Ekeler",LAC,"vs. MIA","2 out of 5 stars","A+","20.7"
"2","Josh Jacobs",LV,"at LAR","3 out of 5 stars","A+","19.7"
"3","Christian McCaffrey",SF,"vs. TB","3 out of 5 stars","A+","18.9"
"4","Derrick Henry",TEN,"vs. JAC","4 out of 5 stars","A","18.7"
"5","Rhamondre Stevenson",NE,"at ARI","4 out of 5 stars","A","17.4"
"6","Saquon Barkley",NYG,"vs. PHI","4 out of 5 stars","A","17.4"
"7","Tony Pollard",DAL,"vs. HOU","4 out of 5 stars","A","17.0"
"8","Dalvin Cook",MIN,"at DET","4 out of 5 stars","A","16.3"
"9","Nick Chubb",CLE,"at CIN","3 out of 5 stars","A","15.9"
"10","Travis Etienne Jr.",JAC,"at TEN","2 out of 5 stars","A-","14.6"
"11","D'Andre Swift",DET,"vs. MIN","3 out of 5 stars","A-","14.6"
"12","Ezekiel Elliott",DAL,"vs. HOU","4 out of 5 stars","B+","13.6"
"13","Miles Sanders",PHI,"at NYG","3 out of 5 stars","B+","13.5"
"14","Joe Mixon",CIN,"vs. CLE","4 out of 5 stars","A-","12.9"
"15","Dameon Pierce",HOU,"at DAL","3 out of 5 stars","B","12.6"
"16","Najee Harris",PIT,"vs. BAL","3 out of 5 stars","B","12.2"
"17","James Conner",ARI,"vs. NE","2 out of 5 stars","B","12.0"
"18","Isiah Pacheco",KC,"at DEN","3 out of 5 stars","B","11.8"
"19","Latavius Murray",DEN,"vs. KC","3 out of 5 stars","B","11.4"
"20","Jeff Wilson Jr.",MIA,"at LAC","4 out of 5 stars","B-","11.3"
"21","Jamaal Williams",DET,"vs. MIN","3 out of 5 stars","B","11.1"
"22","Rachaad White",TB,"at SF","1 out of 5 stars","B-","10.9"
"23","Leonard Fournette",TB,"at SF","1 out of 5 stars","C+","10.6"
"24","Samaje Perine",CIN,"vs. CLE","4 out of 5 stars","C+","10.5"
"25","James Cook",BUF,"vs. NYJ","3 out of 5 stars","C+","10.3"
"26","D'onta Foreman",CAR,"at SEA","5 out of 5 stars","C+","10.1"
"27","Devin Singletary",BUF,"vs. NYJ","3 out of 5 stars","C+","9.8"
"28","Zonovan Knight",NYJ,"at BUF","3 out of 5 stars","C+","9.2"
"29","Cam Akers",LAR,"vs. LV","3 out of 5 stars","C","8.6"
"30","Jerick McKinnon",KC,"at DEN","3 out of 5 stars","C","8.6"
"31","Kareem Hunt",CLE,"at CIN","3 out of 5 stars","C","8.1"
"32","Raheem Mostert",MIA,"at LAC","4 out of 5 stars","C","8.0"
"33","Gus Edwards",BAL,"at PIT","2 out of 5 stars","C","7.7"
"34","Kyren Williams",LAR,"vs. LV","3 out of 5 stars","C-","7.6"
"35","Kenyan Drake",BAL,"at PIT","2 out of 5 stars","C-","7.4"
"36","Ty Johnson",NYJ,"at BUF","3 out of 5 stars","C-","7.2"
"37","DeeJay Dallas",SEA,"vs. CAR","4 out of 5 stars","C-","7.1"
"38","Dontrell Hilliard",TEN,"vs. JAC","4 out of 5 stars","C-","6.8"
"39","Kenneth Gainwell",PHI,"at NYG","3 out of 5 stars","D+","6.5"
"40","Chuba Hubbard",CAR,"at SEA","5 out of 5 stars","D+","5.9"
"41","Alexander Mattison",MIN,"at DET","4 out of 5 stars","D","5.8"
"42","Jordan Mason",SF,"vs. TB","3 out of 5 stars","D","5.7"
"43","Jaylen Warren",PIT,"vs. BAL","3 out of 5 stars","D","5.6"
"44","Ameer Abdullah",LV,"at LAR","3 out of 5 stars","D","5.1"
"45","Joshua Kelley",LAC,"vs. MIA","2 out of 5 stars","D-","5.1"
"46","Kenneth Walker",SEA,"vs. CAR","4 out of 5 stars","C-","5.0"
"47","Boston Scott",PHI,"at NYG","3 out of 5 stars","F","4.9"
"48","Matt Breida",NYG,"vs. PHI","4 out of 5 stars","F","4.6"
"49","Justin Jackson",DET,"vs. MIN","3 out of 5 stars","F","4.6"
"50","Mike Boone",DEN,"vs. KC","3 out of 5 stars","F","4.3"
"51","James Robinson",NYJ,"at BUF","3 out of 5 stars","F","4.2"
"52","Jamycal Hasty",JAC,"at TEN","2 out of 5 stars","F","4.2"
"53","Michael Carter",NYJ,"at BUF","3 out of 5 stars","D","4.2"
"54","Nyheim Hines",BUF,"vs. NYJ","3 out of 5 stars","F","4.2"
"55","Travis Homer",SEA,"vs. CAR","4 out of 5 stars","D-","4.1"
"56","Benny Snell Jr.",PIT,"vs. BAL","3 out of 5 stars","F","3.9"
"57","Tony Jones Jr.",SEA,"vs. CAR","4 out of 5 stars","F","3.8"
"58","Dare Ogunbowale",HOU,"at DAL","3 out of 5 stars","F","3.7"
"59","Isaiah Spiller",LAC,"vs. MIA","2 out of 5 stars","F","3.7"
"60","Keaontay Ingram",ARI,"vs. NE","2 out of 5 stars","F","3.7"
"61","Kyle Juszczyk",SF,"vs. TB","3 out of 5 stars","F","3.6"
"62","Zamir White",LV,"at LAR","3 out of 5 stars","F","3.5"
"63","Justice Hill",BAL,"at PIT","2 out of 5 stars","F","3.4"
"64","Damien Harris",NE,"at ARI","4 out of 5 stars","F","3.3"
"65","Marlon Mack",DEN,"vs. KC","3 out of 5 stars","F","3.3"
"66","Malik Davis",DAL,"vs. HOU","4 out of 5 stars","F","3.1"
"67","Eno Benjamin",HOU,"at DAL","3 out of 5 stars","F","3.1"
"68","Chris Evans",CIN,"vs. CLE","4 out of 5 stars","F","3.0"
"69","Ronald Jones II",KC,"at DEN","3 out of 5 stars","F","2.5"
"70","Trayveon Williams",CIN,"vs. CLE","4 out of 5 stars","F","2.5"
"71","Tyrion Davis Price",SF,"vs. TB","3 out of 5 stars","F","2.3"
"72","Gary Brightwell",NYG,"vs. PHI","4 out of 5 stars","F","2.2"
"73","Snoop Conner",JAC,"at TEN","2 out of 5 stars","F","2.1"
"74","J.K. Dobbins",BAL,"at PIT","2 out of 5 stars","F","2.0"
"75","Rex Burkhead",HOU,"at DAL","3 out of 5 stars","F","2.0"
"76","Alec Ingold",MIA,"at LAC","4 out of 5 stars","F","2.0"
"77","Patrick Ricard",BAL,"at PIT","2 out of 5 stars","F","2.0"
"78","Kevin Harris",NE,"at ARI","4 out of 5 stars","F","2.0"
"79","Reggie Gilliam",BUF,"vs. NYJ","3 out of 5 stars","F","2.0"
"80","Brandon Bolden",LV,"at LAR","3 out of 5 stars","F","1.8"
"81","C.J. Ham",MIN,"at DET","4 out of 5 stars","F","1.8"
"82","Ke'Shawn Vaughn",TB,"at SF","1 out of 5 stars","F","1.8"
"83","Pierre Strong Jr.",NE,"at ARI","4 out of 5 stars","F","1.8"
"84","Raheem Blackshear",CAR,"at SEA","5 out of 5 stars","F","1.8"
"85","Anthony McFarland Jr.",PIT,"vs. BAL","3 out of 5 stars","F","1.7"
"86","Tevin Coleman",SF,"vs. TB","3 out of 5 stars","F","1.7"
"87","Jakob Johnson",LV,"at LAR","3 out of 5 stars","F","1.6"
