"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"at DEN","2 out of 5 stars","A+","17.7"
"2","Mark Andrews",BAL,"at PIT","3 out of 5 stars","A","13.1"
"3","T.J. Hockenson",MIN,"at DET","3 out of 5 stars","A","12.9"
"4","Pat Freiermuth",PIT,"vs. BAL","4 out of 5 stars","A-","11.4"
"5","Dalton Schultz",DAL,"vs. HOU","3 out of 5 stars","A-","10.3"
"6","George Kittle",SF,"vs. TB","3 out of 5 stars","B","9.9"
"7","Gerald Everett",LAC,"vs. MIA","4 out of 5 stars","B","9.6"
"8","Greg Dulcich",DEN,"vs. KC","4 out of 5 stars","B","9.4"
"9","Foster Moreau",LV,"at LAR","2 out of 5 stars","B-","9.0"
"10","Evan Engram",JAC,"at TEN","3 out of 5 stars","C+","8.3"
"11","Tyler Higbee",LAR,"vs. LV","5 out of 5 stars","C+","7.9"
"12","Tyler Conklin",NYJ,"at BUF","1 out of 5 stars","C","7.6"
"13","Dawson Knox",BUF,"vs. NYJ","2 out of 5 stars","C","7.4"
"14","Noah Fant",SEA,"vs. CAR","3 out of 5 stars","C-","7.4"
"15","Hunter Henry",NE,"at ARI","4 out of 5 stars","C","7.3"
"16","Daniel Bellinger",NYG,"vs. PHI","3 out of 5 stars","D+","7.1"
"17","Mike Gesicki",MIA,"at LAC","3 out of 5 stars","D","7.0"
"18","Chigoziem Okonkwo",TEN,"vs. JAC","3 out of 5 stars","D","7.0"
"19","Austin Hooper",TEN,"vs. JAC","3 out of 5 stars","D","6.9"
"20","Jordan Akins",HOU,"at DAL","1 out of 5 stars","D-","5.7"
"21","Cade Otton",TB,"at SF","2 out of 5 stars","D-","5.5"
"22","David Njoku",CLE,"at CIN","2 out of 5 stars","D","5.4"
"23","Harrison Bryant",CLE,"at CIN","2 out of 5 stars","F","5.2"
"24","Will Dissly",SEA,"vs. CAR","3 out of 5 stars","F","5.2"
"25","Trey Mcbride",ARI,"vs. NE","4 out of 5 stars","F","5.1"
"26","Jonnu Smith",NE,"at ARI","4 out of 5 stars","F","5.0"
"27","Brock Wright",DET,"vs. MIN","4 out of 5 stars","F","4.9"
"28","Isaiah Likely",BAL,"at PIT","3 out of 5 stars","F","4.9"
"29","Jack Stoll",PHI,"at NYG","4 out of 5 stars","F","4.9"
"30","Cameron Brate",TB,"at SF","2 out of 5 stars","F","4.8"
"31","Jake Ferguson",DAL,"vs. HOU","3 out of 5 stars","F","4.7"
"32","James Mitchell",DET,"vs. MIN","4 out of 5 stars","F","4.5"
"33","Mitchell Wilcox",CIN,"vs. CLE","3 out of 5 stars","F","4.2"
"34","C.J. Uzomah",NYJ,"at BUF","1 out of 5 stars","F","3.8"
"35","Hayden Hurst",CIN,"vs. CLE","3 out of 5 stars","F","3.8"
"36","Brevin Jordan",HOU,"at DAL","1 out of 5 stars","F","3.6"
"37","Tommy Tremble",CAR,"at SEA","4 out of 5 stars","F","3.5"
"38","Ian Thomas",CAR,"at SEA","4 out of 5 stars","F","3.5"
"39","Noah Gray",KC,"at DEN","2 out of 5 stars","F","3.4"
"40","Durham Smythe",MIA,"at LAC","3 out of 5 stars","F","3.4"
"41","Jody Fortson",KC,"at DEN","2 out of 5 stars","F","3.2"
"42","Colby Parkinson",SEA,"vs. CAR","3 out of 5 stars","F","3.2"
"43","Teagan Quitoriano",HOU,"at DAL","1 out of 5 stars","F","3.1"
"44","Zach Gentry",PIT,"vs. BAL","4 out of 5 stars","F","2.9"
"45","Josh Oliver",BAL,"at PIT","3 out of 5 stars","F","2.9"
"46","Peyton Hendershot",DAL,"vs. HOU","3 out of 5 stars","F","2.9"
"47","Geoff Swaim",TEN,"vs. JAC","3 out of 5 stars","F","2.9"
"48","Connor Heyward",PIT,"vs. BAL","4 out of 5 stars","F","2.7"
"49","Tre' McKitty",LAC,"vs. MIA","4 out of 5 stars","F","2.7"
"50","Ross Dwelley",SF,"vs. TB","3 out of 5 stars","F","2.5"
"51","Johnny Mundt",MIN,"at DET","3 out of 5 stars","F","2.4"
"52","Brycen Hopkins",LAR,"vs. LV","5 out of 5 stars","F","2.4"
"53","Quintin Morris",BUF,"vs. NYJ","2 out of 5 stars","F","2.3"
"54","O.J. Howard",HOU,"at DAL","1 out of 5 stars","F","2.3"
"55","Grant Calcaterra",PHI,"at NYG","4 out of 5 stars","F","2.2"
"56","Ko Kieft",TB,"at SF","2 out of 5 stars","F","2.2"
"57","Stone Smartt",LAC,"vs. MIA","4 out of 5 stars","F","2.0"
"58","Shane Zylstra",DET,"vs. MIN","4 out of 5 stars","F","2.0"
"59","Chris Myarick",NYG,"vs. PHI","3 out of 5 stars","F","2.0"
"60","Pharaoh Brown",CLE,"at CIN","2 out of 5 stars","F","2.0"
"61","Dan Arnold",JAC,"at TEN","3 out of 5 stars","F","1.9"
"62","Eric Saubert",DEN,"vs. KC","4 out of 5 stars","F","1.9"
"63","Tyler Kroft",SF,"vs. TB","3 out of 5 stars","F","1.9"
"64","Eric Tomlinson",DEN,"vs. KC","4 out of 5 stars","F","1.8"
"65","Richard Rodgers",LAC,"vs. MIA","4 out of 5 stars","F","1.8"
"66","Nick Vannett",NYG,"vs. PHI","3 out of 5 stars","F","1.8"
"67","Nick Boyle",BAL,"at PIT","3 out of 5 stars","F","1.7"
"68","Chris Manhertz",JAC,"at TEN","3 out of 5 stars","F","1.5"
"69","Tyree Jackson",PHI,"at NYG","4 out of 5 stars","F","1.4"
