"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Justin Jefferson",MIN,"at DET","2 out of 5 stars","A+","21.5"
"2","Davante Adams",LV,"at LAR","4 out of 5 stars","A+","21.4"
"3","Tyreek Hill",MIA,"at LAC","3 out of 5 stars","A+","20.5"
"4","Stefon Diggs",BUF,"vs. NYJ","3 out of 5 stars","A+","19.6"
"5","Amonra St. Brown",DET,"vs. MIN","3 out of 5 stars","A+","19.0"
"6","Jamarr Chase",CIN,"vs. CLE","4 out of 5 stars","A+","18.9"
"7","Ceedee Lamb",DAL,"vs. HOU","3 out of 5 stars","A","17.1"
"8","A.J. Brown",PHI,"at NYG","2 out of 5 stars","A","16.2"
"9","Tee Higgins",CIN,"vs. CLE","4 out of 5 stars","A","15.8"
"10","Jaylen Waddle",MIA,"at LAC","3 out of 5 stars","A","15.6"
"11","Deandre Hopkins",ARI,"vs. NE","4 out of 5 stars","A","15.5"
"12","DK Metcalf",SEA,"vs. CAR","3 out of 5 stars","A","14.9"
"13","Keenan Allen",LAC,"vs. MIA","2 out of 5 stars","A","14.8"
"14","Chris Godwin",TB,"at SF","3 out of 5 stars","A","14.8"
"15","Christian Kirk",JAC,"at TEN","3 out of 5 stars","A","14.7"
"16","Amari Cooper",CLE,"at CIN","3 out of 5 stars","A","14.2"
"17","Tyler Lockett",SEA,"vs. CAR","3 out of 5 stars","A","13.9"
"18","Garrett Wilson",NYJ,"at BUF","3 out of 5 stars","A","13.5"
"19","Devonta Smith",PHI,"at NYG","2 out of 5 stars","A-","13.4"
"20","Mike Evans",TB,"at SF","3 out of 5 stars","A-","13.2"
"21","Dj Moore",CAR,"at SEA","3 out of 5 stars","B+","13.1"
"22","Juju Smith-Schuster",KC,"at DEN","2 out of 5 stars","B+","12.7"
"23","Joshua Palmer",LAC,"vs. MIA","2 out of 5 stars","B","12.7"
"24","Marquise Brown",ARI,"vs. NE","4 out of 5 stars","B","12.6"
"25","Jakobi Meyers",NE,"at ARI","4 out of 5 stars","B","12.3"
"26","Diontae Johnson",PIT,"vs. BAL","3 out of 5 stars","B","12.0"
"27","Brandon Aiyuk",SF,"vs. TB","3 out of 5 stars","B","11.6"
"28","Zay Jones",JAC,"at TEN","3 out of 5 stars","C+","11.5"
"29","Deebo Samuel",SF,"vs. TB","3 out of 5 stars","B-","11.5"
"30","George Pickens",PIT,"vs. BAL","3 out of 5 stars","C+","11.3"
"31","Adam Thielen",MIN,"at DET","2 out of 5 stars","C+","11.2"
"32","Darius Slayton",NYG,"vs. PHI","2 out of 5 stars","C+","11.1"
"33","Jerry Jeudy",DEN,"vs. KC","4 out of 5 stars","B-","10.8"
"34","Gabe Davis",BUF,"vs. NYJ","3 out of 5 stars","C+","10.6"
"35","Tyler Boyd",CIN,"vs. CLE","4 out of 5 stars","C+","10.6"
"36","Michael Gallup",DAL,"vs. HOU","3 out of 5 stars","C+","10.4"
"37","Nico Collins",HOU,"at DAL","4 out of 5 stars","C","10.4"
"38","Donovan Peoples Jones",CLE,"at CIN","3 out of 5 stars","C","10.3"
"39","Isaiah Mckenzie",BUF,"vs. NYJ","3 out of 5 stars","C","10.3"
"40","Mack Hollins",LV,"at LAR","4 out of 5 stars","C","10.1"
"41","Marquez Valdes Scantling",KC,"at DEN","2 out of 5 stars","C","9.9"
"42","Van Jefferson",LAR,"vs. LV","4 out of 5 stars","C","9.8"
"43","Corey Davis",NYJ,"at BUF","3 out of 5 stars","C","9.7"
"44","D.J. Chark Jr.",DET,"vs. MIN","3 out of 5 stars","C","9.2"
"45","Devin Duvernay",BAL,"at PIT","3 out of 5 stars","C","9.1"
"46","DeAndre Carter",LAC,"vs. MIA","2 out of 5 stars","C-","8.9"
"47","Treylon Burks",TEN,"vs. JAC","3 out of 5 stars","C","8.9"
"48","Robert Woods",TEN,"vs. JAC","3 out of 5 stars","C-","8.8"
"49","Elijah Moore",NYJ,"at BUF","3 out of 5 stars","C-","8.8"
"50","Marvin Jones Jr.",JAC,"at TEN","3 out of 5 stars","C-","8.8"
"51","Julio Jones",TB,"at SF","3 out of 5 stars","C-","8.5"
"52","Demarcus Robinson",BAL,"at PIT","3 out of 5 stars","C-","8.4"
"53","Chris Moore",HOU,"at DAL","4 out of 5 stars","D+","8.0"
"54","Devante Parker",NE,"at ARI","4 out of 5 stars","D+","7.6"
"55","Nick Westbrook-Ikhine",TEN,"vs. JAC","3 out of 5 stars","D","7.4"
"56","Courtland Sutton",DEN,"vs. KC","4 out of 5 stars","C-","7.4"
"57","Rondale Moore",ARI,"vs. NE","4 out of 5 stars","D","7.4"
"58","Quez Watkins",PHI,"at NYG","2 out of 5 stars","D","7.4"
"59","K.J. Osborn",MIN,"at DET","2 out of 5 stars","D-","7.3"
