"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Austin Ekeler",LAC,"1","3","1.8","0.9"
"2","Josh Jacobs",LV,"1","4","2.2","0.9"
"3","Derrick Henry",TEN,"1","5","2.9","1.2"
"4","Nick Chubb",CLE,"3","7","4.8","1.2"
"5","Christian McCaffrey",SF,"1","9","5.1","2.1"
"6","Rhamondre Stevenson",NE,"3","8","5.7","1.2"
"7","Dalvin Cook",MIN,"3","8","6.3","1.3"
"8","Saquon Barkley",NYG,"7","12","8.5","1.6"
"9","Tony Pollard",DAL,"7","14","10.5","2.0"
"10","Miles Sanders",PHI,"9","16","10.9","2.1"
"11","Ezekiel Elliott",DAL,"10","13","11.5","1.0"
"12","Joe Mixon",CIN,"6","34","11.9","7.1"
"13","Travis Etienne Jr.",JAC,"11","17","13.5","1.5"
"14","Dameon Pierce",HOU,"11","20","14.5","2.7"
"15","D'Andre Swift",DET,"12","22","16.2","2.8"
"16","James Conner",ARI,"10","26","16.5","4.0"
"17","Isiah Pacheco",KC,"14","22","17.6","2.3"
"18","Najee Harris",PIT,"15","22","18.0","2.2"
"19","Jamaal Williams",DET,"15","23","18.9","2.0"
"20","D'Onta Foreman",CAR,"15","29","20.1","3.8"
"21","Zonovan Knight",NYJ,"16","29","21.5","3.9"
"22","Jeff Wilson Jr.",MIA,"17","28","22.2","3.0"
"23","Raheem Mostert",MIA,"19","25","23.1","1.8"
"24","Latavius Murray",DEN,"20","29","25.0","3.0"
"25","Cam Akers",LAR,"20","29","25.2","2.7"
"26","Devin Singletary",BUF,"21","30","25.2","3.2"
"27","Rachaad White",TB,"20","31","25.9","2.9"
"28","Gus Edwards",BAL,"23","33","26.4","2.2"
"29","Leonard Fournette",TB,"25","30","27.5","1.6"
"30","James Cook",BUF,"27","34","30.9","1.9"
"31","Kareem Hunt",CLE,"30","36","32.0","1.6"
"32","Samaje Perine",CIN,"26","38","33.1","3.1"
"33","Kyren Williams",LAR,"30","39","34.4","2.9"
"34","Jerick McKinnon",KC,"32","40","35.1","1.7"
"35","Kenyan Drake",BAL,"32","50","37.9","5.4"
"36","Kenneth Gainwell",PHI,"36","44","39.9","2.4"
"37","Jaylen Warren",PIT,"36","50","40.2","2.8"
"38","Ty Johnson",NYJ,"33","50","40.5","5.8"
"39","Chuba Hubbard",CAR,"33","51","40.9","4.3"
"40","Alexander Mattison",MIN,"38","47","41.0","2.4"
"41","Jordan Mason",SF,"36","48","41.8","2.7"
"42","DeeJay Dallas",SEA,"34","68","42.6","7.6"
"43","Dontrell Hilliard",TEN,"37","51","43.5","4.5"
"44","Joshua Kelley",LAC,"41","50","45.1","2.3"
"45","Boston Scott",PHI,"41","57","46.8","4.5"
"46","Kenneth Walker III",SEA,"13","82","36.5","19.2"
"47","James Robinson",NYJ,"43","65","49.7","5.2"
"48","Mike Boone",DEN,"39","56","49.9","4.1"
"49","Matt Breida",NYG,"46","57","50.4","3.5"
"50","Ameer Abdullah",LV,"47","63","51.9","3.2"
