"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Travis Kelce",KC,"1","2","1.1","0.2"
"2","Mark Andrews",BAL,"1","3","2.0","0.3"
"3","T.J. Hockenson",MIN,"3","3","3.0","0.0"
"4","Pat Freiermuth",PIT,"3","6","4.7","1.0"
"5","Dalton Schultz",DAL,"4","7","5.2","1.1"
"6","George Kittle",SF,"5","7","5.7","0.8"
"7","Greg Dulcich",DEN,"5","9","7.2","0.9"
"8","Gerald Everett",LAC,"5","10","7.5","1.5"
"9","Foster Moreau",LV,"9","15","10.0","1.5"
"10","Dawson Knox",BUF,"9","13","10.8","1.4"
"11","Evan Engram",JAC,"10","14","11.8","1.2"
"12","Tyler Higbee",LAR,"8","15","12.2","1.8"
"13","Hunter Henry",NE,"9","14","12.3","1.4"
"14","Tyler Conklin",NYJ,"12","20","14.9","2.4"
"15","Chigoziem Okonkwo",TEN,"10","22","16.8","2.6"
"16","Noah Fant",SEA,"14","19","16.9","1.5"
"17","Daniel Bellinger",NYG,"16","21","17.4","1.8"
"18","Mike Gesicki",MIA,"15","23","18.1","2.6"
"19","Jordan Akins",HOU,"16","26","19.8","2.4"
"20","Austin Hooper",TEN,"17","25","20.2","2.1"
"21","Cade Otton",TB,"17","25","20.6","2.2"
"22","David Njoku",CLE,"8","35","19.0","7.7"
"23","Harrison Bryant",CLE,"21","31","24.2","2.6"
"24","Trey McBride",ARI,"22","29","25.3","2.3"
"25","Will Dissly",SEA,"22","31","23.9","1.9"
"26","Jonnu Smith",NE,"22","30","26.4","1.8"
"27","Brock Wright",DET,"25","29","26.8","1.1"
"28","Isaiah Likely",BAL,"21","34","27.2","4.1"
"29","Jack Stoll",PHI,"27","37","30.3","3.4"
"30","Cameron Brate",TB,"26","35","29.4","1.9"
"31","Jake Ferguson",DAL,"31","36","32.9","1.5"
"32","James Mitchell",DET,"30","45","35.2","5.1"
"33","C.J. Uzomah",NYJ,"33","39","34.5","2.2"
"34","Mitchell Wilcox",CIN,"25","49","34.6","5.4"
"35","Brevin Jordan",HOU,"24","43","32.7","5.5"
"36","Hayden Hurst",CIN,"30","40","33.7","3.5"
"37","Tommy Tremble",CAR,"31","38","34.3","2.4"
"38","Noah Gray",KC,"28","44","33.6","5.1"
"39","Ian Thomas",CAR,"33","40","36.9","2.1"
"40","Jody Fortson",KC,"32","52","39.3","6.1"
"41","Durham Smythe",MIA,"40","43","41.0","1.1"
"42","Colby Parkinson",SEA,"39","51","44.7","4.0"
"43","Teagan Quitoriano",HOU,"41","53","46.3","4.1"
"44","Josh Oliver",BAL,"38","61","44.2","8.5"
"45","Zach Gentry",PIT,"41","50","44.4","3.0"
"46","Peyton Hendershot",DAL,"45","51","47.6","2.0"
"47","Geoff Swaim",TEN,"45","56","48.8","3.9"
"48","Stone Smartt",LAC,"39","60","49.6","8.5"
"49","Connor Heyward",PIT,"42","70","51.8","9.6"
"50","Ross Dwelley",SF,"33","56","41.0","10.6"
