"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Justin Jefferson",MIN,"1","2","1.1","0.2"
"2","Tyreek Hill",MIA,"2","2","2.0","0.0"
"3","Davante Adams",LV,"3","3","3.0","0.0"
"4","Ja'Marr Chase",CIN,"4","5","4.1","0.3"
"5","Stefon Diggs",BUF,"4","8","5.2","0.8"
"6","A.J. Brown",PHI,"6","7","6.1","0.2"
"7","CeeDee Lamb",DAL,"7","8","7.1","0.2"
"8","Amon-Ra St. Brown",DET,"5","10","8.3","1.5"
"9","Tee Higgins",CIN,"8","11","9.0","1.0"
"10","DeAndre Hopkins",ARI,"9","15","10.4","1.5"
"11","DK Metcalf",SEA,"9","13","11.1","1.0"
"12","Jaylen Waddle",MIA,"10","16","12.8","1.7"
"13","Deebo Samuel",SF,"12","17","13.7","1.4"
"14","Tyler Lockett",SEA,"11","17","14.0","1.6"
"15","Amari Cooper",CLE,"13","22","15.7","2.3"
"16","Garrett Wilson",NYJ,"12","21","17.1","2.5"
"17","Mike Evans",TB,"14","21","17.2","1.7"
"18","Christian Kirk",JAC,"14","20","17.7","2.4"
"19","Chris Godwin",TB,"16","21","18.2","1.8"
"20","Keenan Allen",LAC,"11","23","18.4","2.8"
"21","DeVonta Smith",PHI,"18","21","20.1","1.1"
"22","Gabe Davis",BUF,"20","23","21.8","0.6"
"23","Brandon Aiyuk",SF,"19","26","23.5","1.5"
"24","DJ Moore",CAR,"22","27","24.5","1.5"
"25","Marquise Brown",ARI,"24","28","25.9","1.4"
"26","Joshua Palmer",LAC,"24","39","27.8","4.2"
"27","JuJu Smith-Schuster",KC,"25","30","27.9","1.4"
"28","Adam Thielen",MIN,"26","32","29.2","1.8"
"29","George Pickens",PIT,"28","33","30.2","1.3"
"30","Jerry Jeudy",DEN,"25","41","31.0","5.0"
"31","Donovan Peoples-Jones",CLE,"28","39","32.8","3.8"
"32","Michael Gallup",DAL,"25","38","33.2","3.6"
"33","Diontae Johnson",PIT,"31","36","33.5","1.7"
"34","Zay Jones",JAC,"32","35","33.9","1.1"
"35","Jakobi Meyers",NE,"32","39","34.6","2.0"
"36","Darius Slayton",NYG,"33","41","35.1","1.8"
"37","Nico Collins",HOU,"32","43","38.2","2.6"
"38","Tyler Boyd",CIN,"32","44","38.5","3.2"
"39","Marquez Valdes-Scantling",KC,"37","42","39.7","1.4"
"40","D.J. Chark Jr.",DET,"28","49","41.6","4.5"
"41","Mack Hollins",LV,"38","47","41.7","2.5"
"42","Corey Davis",NYJ,"38","45","41.8","1.7"
"43","Van Jefferson",LAR,"41","50","43.7","2.0"
"44","Isaiah McKenzie",BUF,"44","48","45.6","1.3"
"45","Julio Jones",TB,"46","52","48.8","1.9"
"46","Robert Woods",TEN,"45","54","49.4","2.8"
"47","Elijah Moore",NYJ,"43","53","49.7","2.4"
"48","Treylon Burks",TEN,"27","76","41.1","13.2"
"49","Devin Duvernay",BAL,"47","56","50.9","3.1"
"50","Demarcus Robinson",BAL,"46","59","52.4","3.6"
