"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brett Maher",DAL,"vs. HOU","4 out of 5 stars","A","8.5"
"2","Justin Tucker",BAL,"at PIT","4 out of 5 stars","B+","8.3"
"3","Tyler Bass",BUF,"vs. NYJ","3 out of 5 stars","B","8.1"
"4","Daniel Carlson",LV,"at LAR","5 out of 5 stars","B","7.9"
"5","Harrison Butker",KC,"at DEN","4 out of 5 stars","B","7.9"
"6","Evan Mcpherson",CIN,"vs. CLE","4 out of 5 stars","B","7.7"
"7","Jason Myers",SEA,"vs. CAR","3 out of 5 stars","B-","7.6"
"8","Nick Folk",NE,"at ARI","4 out of 5 stars","C+","7.5"
"9","Cameron Dicker",LAC,"vs. MIA","2 out of 5 stars","C+","7.5"
"10","Greg Joseph",MIN,"at DET","2 out of 5 stars","C+","7.5"
"11","Jason Sanders",MIA,"at LAC","5 out of 5 stars","C","7.5"
"12","Michael Badgley",DET,"vs. MIN","4 out of 5 stars","C","7.3"
"13","Ryan Succop",TB,"at SF","1 out of 5 stars","C","7.0"
"14","Jake Elliott",PHI,"at NYG","4 out of 5 stars","C","6.9"
"15","Graham Gano",NYG,"vs. PHI","2 out of 5 stars","C","6.8"
"16","Robbie Gould",SF,"vs. TB","2 out of 5 stars","C","6.8"
"17","Cade York",CLE,"at CIN","5 out of 5 stars","C-","6.5"
"18","Greg Zuerlein",NYJ,"at BUF","1 out of 5 stars","C-","6.5"
"19","Matthew Wright",PIT,"vs. BAL","3 out of 5 stars","D+","6.4"
"20","Randy Bullock",TEN,"vs. JAC","3 out of 5 stars","D","6.3"
"21","Matt Prater",ARI,"vs. NE","4 out of 5 stars","D","6.2"
"22","Brandon Mcmanus",DEN,"vs. KC","3 out of 5 stars","D+","6.1"
"23","Riley Patterson",JAC,"at TEN","2 out of 5 stars","D","5.9"
"24","Matt Gay",LAR,"vs. LV","4 out of 5 stars","D","5.9"
"25","Eddy Pineiro",CAR,"at SEA","2 out of 5 stars","D","5.9"
"26","Ka'imi Fairbairn",HOU,"at DAL","4 out of 5 stars","D-","5.7"
"27","Chris Boswell",PIT,"vs. BAL","3 out of 5 stars","D-","5.2"
