"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Austin Ekeler",LAC,"vs. MIA","2 out of 5 stars","A+","15.9"
"2","Josh Jacobs",LV,"at LAR","3 out of 5 stars","A+","14.7"
"3","Derrick Henry",TEN,"vs. JAC","4 out of 5 stars","A+","14.7"
"4","Nick Chubb",CLE,"at CIN","3 out of 5 stars","A","14.4"
"5","Christian McCaffrey",SF,"vs. TB","3 out of 5 stars","A","14.1"
"6","Rhamondre Stevenson",NE,"at ARI","4 out of 5 stars","A","13.9"
"7","Dalvin Cook",MIN,"at DET","4 out of 5 stars","A","13.5"
"8","Saquon Barkley",NYG,"vs. PHI","4 out of 5 stars","A","13.5"
"9","Tony Pollard",DAL,"vs. HOU","4 out of 5 stars","A-","13.3"
"10","Miles Sanders",PHI,"at NYG","3 out of 5 stars","A-","13.2"
"11","Ezekiel Elliott",DAL,"vs. HOU","4 out of 5 stars","A-","12.2"
"12","Joe Mixon",CIN,"vs. CLE","4 out of 5 stars","A-","11.4"
"13","Travis Etienne Jr.",JAC,"at TEN","2 out of 5 stars","B+","11.2"
"14","Dameon Pierce",HOU,"at DAL","3 out of 5 stars","B+","11.0"
"15","D'Andre Swift",DET,"vs. MIN","3 out of 5 stars","B+","10.2"
"16","James Conner",ARI,"vs. NE","2 out of 5 stars","B","10.2"
"17","Isiah Pacheco",KC,"at DEN","3 out of 5 stars","B","10.0"
"18","Najee Harris",PIT,"vs. BAL","3 out of 5 stars","B","10.0"
"19","Jamaal Williams",DET,"vs. MIN","3 out of 5 stars","B","9.8"
"20","D'onta Foreman",CAR,"at SEA","5 out of 5 stars","B-","9.7"
"21","Zonovan Knight",NYJ,"at BUF","3 out of 5 stars","B-","9.6"
"22","Jeff Wilson Jr.",MIA,"at LAC","4 out of 5 stars","B-","9.4"
"23","Raheem Mostert",MIA,"at LAC","4 out of 5 stars","B-","9.3"
"24","Latavius Murray",DEN,"vs. KC","3 out of 5 stars","C+","8.8"
