"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"at DEN","2 out of 5 stars","A+","11.2"
"2","Mark Andrews",BAL,"at PIT","3 out of 5 stars","A","8.2"
"3","T.J. Hockenson",MIN,"at DET","3 out of 5 stars","A-","8.0"
"4","Pat Freiermuth",PIT,"vs. BAL","4 out of 5 stars","B+","6.8"
"5","Dalton Schultz",DAL,"vs. HOU","3 out of 5 stars","B","6.4"
"6","George Kittle",SF,"vs. TB","3 out of 5 stars","B","6.1"
"7","Greg Dulcich",DEN,"vs. KC","4 out of 5 stars","B","5.8"
"8","Gerald Everett",LAC,"vs. MIA","4 out of 5 stars","B-","5.7"
"9","Foster Moreau",LV,"at LAR","2 out of 5 stars","C+","5.1"
"10","Dawson Knox",BUF,"vs. NYJ","2 out of 5 stars","C","5.0"
"11","Evan Engram",JAC,"at TEN","3 out of 5 stars","C-","4.6"
"12","Tyler Higbee",LAR,"vs. LV","5 out of 5 stars","C","4.6"
"13","Hunter Henry",NE,"at ARI","4 out of 5 stars","C-","4.5"
"14","Tyler Conklin",NYJ,"at BUF","1 out of 5 stars","D+","4.4"
"15","Chigoziem Okonkwo",TEN,"vs. JAC","3 out of 5 stars","D+","4.3"
"16","Noah Fant",SEA,"vs. CAR","3 out of 5 stars","D+","4.2"
"17","Daniel Bellinger",NYG,"vs. PHI","3 out of 5 stars","D","4.2"
"18","Mike Gesicki",MIA,"at LAC","3 out of 5 stars","D","4.2"
"19","Jordan Akins",HOU,"at DAL","1 out of 5 stars","D-","4.2"
"20","Austin Hooper",TEN,"vs. JAC","3 out of 5 stars","D-","3.6"
"21","Cade Otton",TB,"at SF","2 out of 5 stars","D-","3.6"
"22","David Njoku",CLE,"at CIN","2 out of 5 stars","D","3.2"
"23","Harrison Bryant",CLE,"at CIN","2 out of 5 stars","F","3.1"
"24","Trey Mcbride",ARI,"vs. NE","4 out of 5 stars","F","3.1"
"25","Will Dissly",SEA,"vs. CAR","3 out of 5 stars","F","3.0"
"26","Jonnu Smith",NE,"at ARI","4 out of 5 stars","F","3.0"
"27","Brock Wright",DET,"vs. MIN","4 out of 5 stars","F","3.0"
"28","Isaiah Likely",BAL,"at PIT","3 out of 5 stars","F","2.9"
"29","Jack Stoll",PHI,"at NYG","4 out of 5 stars","F","2.9"
"30","Cameron Brate",TB,"at SF","2 out of 5 stars","F","2.8"
"31","Jake Ferguson",DAL,"vs. HOU","3 out of 5 stars","F","2.8"
"32","James Mitchell",DET,"vs. MIN","4 out of 5 stars","F","2.7"
"33","C.J. Uzomah",NYJ,"at BUF","1 out of 5 stars","F","2.7"
"34","Mitchell Wilcox",CIN,"vs. CLE","3 out of 5 stars","F","2.6"
"35","Brevin Jordan",HOU,"at DAL","1 out of 5 stars","F","2.3"
"36","Hayden Hurst",CIN,"vs. CLE","3 out of 5 stars","F","2.2"
"37","Tommy Tremble",CAR,"at SEA","4 out of 5 stars","F","2.2"
"38","Noah Gray",KC,"at DEN","2 out of 5 stars","F","2.1"
"39","Ian Thomas",CAR,"at SEA","4 out of 5 stars","F","2.1"
"40","Jody Fortson",KC,"at DEN","2 out of 5 stars","F","2.0"
"41","Durham Smythe",MIA,"at LAC","3 out of 5 stars","F","2.0"
"42","Colby Parkinson",SEA,"vs. CAR","3 out of 5 stars","F","1.9"
"43","Teagan Quitoriano",HOU,"at DAL","1 out of 5 stars","F","1.9"
"44","Josh Oliver",BAL,"at PIT","3 out of 5 stars","F","1.8"
"45","Zach Gentry",PIT,"vs. BAL","4 out of 5 stars","F","1.8"
"46","Peyton Hendershot",DAL,"vs. HOU","3 out of 5 stars","F","1.8"
"47","Geoff Swaim",TEN,"vs. JAC","3 out of 5 stars","F","1.7"
"48","Stone Smartt",LAC,"vs. MIA","4 out of 5 stars","F","1.7"
"49","Connor Heyward",PIT,"vs. BAL","4 out of 5 stars","F","1.7"
"50","Ross Dwelley",SF,"vs. TB","3 out of 5 stars","F","1.6"
"51","Tre' Mckitty",LAC,"vs. MIA","4 out of 5 stars","F","1.5"
"52","Johnny Mundt",MIN,"at DET","3 out of 5 stars","F","1.5"
"53","O.J. Howard",HOU,"at DAL","1 out of 5 stars","F","1.4"
"54","Brycen Hopkins",LAR,"vs. LV","5 out of 5 stars","F","1.4"
"55","Quintin Morris",BUF,"vs. NYJ","2 out of 5 stars","F","1.4"
"56","Grant Calcaterra",PHI,"at NYG","4 out of 5 stars","F","1.4"
"57","Ko Kieft",TB,"at SF","2 out of 5 stars","F","1.3"
"58","Richard Rodgers",LAC,"vs. MIA","4 out of 5 stars","F","1.3"
"59","Shane Zylstra",DET,"vs. MIN","4 out of 5 stars","F","1.3"
"60","Dan Arnold",JAC,"at TEN","3 out of 5 stars","F","1.2"
"61","Chris Myarick",NYG,"vs. PHI","3 out of 5 stars","F","1.2"
"62","Pharaoh Brown",CLE,"at CIN","2 out of 5 stars","F","1.2"
"63","Eric Saubert",DEN,"vs. KC","4 out of 5 stars","F","1.2"
"64","Eric Tomlinson",DEN,"vs. KC","4 out of 5 stars","F","1.2"
"65","Tyler Kroft",SF,"vs. TB","3 out of 5 stars","F","1.2"
"66","Nick Vannett",NYG,"vs. PHI","3 out of 5 stars","F","1.0"
"67","Nick Boyle",BAL,"at PIT","3 out of 5 stars","F","1.0"
"68","Tyree Jackson",PHI,"at NYG","4 out of 5 stars","F","0.8"
"69","Chris Manhertz",JAC,"at TEN","3 out of 5 stars","F","0.7"
