"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Justin Jefferson",MIN,"at DET","2 out of 5 stars","A+","14.4"
"2","Tyreek Hill",MIA,"at LAC","3 out of 5 stars","A+","13.9"
"3","Davante Adams",LV,"at LAR","4 out of 5 stars","A+","13.6"
"4","Jamarr Chase",CIN,"vs. CLE","4 out of 5 stars","A+","13.0"
"5","Stefon Diggs",BUF,"vs. NYJ","3 out of 5 stars","A+","12.4"
"6","A.J. Brown",PHI,"at NYG","2 out of 5 stars","A+","12.0"
"7","Ceedee Lamb",DAL,"vs. HOU","3 out of 5 stars","A","11.6"
"8","Amonra St. Brown",DET,"vs. MIN","3 out of 5 stars","A","10.7"
"9","Tee Higgins",CIN,"vs. CLE","4 out of 5 stars","A","10.5"
"10","Deandre Hopkins",ARI,"vs. NE","4 out of 5 stars","A","10.4"
"11","DK Metcalf",SEA,"vs. CAR","3 out of 5 stars","A","10.1"
"12","Jaylen Waddle",MIA,"at LAC","3 out of 5 stars","A","10.0"
"13","Deebo Samuel",SF,"vs. TB","3 out of 5 stars","A","9.8"
"14","Tyler Lockett",SEA,"vs. CAR","3 out of 5 stars","A","9.3"
"15","Amari Cooper",CLE,"at CIN","3 out of 5 stars","A-","9.0"
"16","Garrett Wilson",NYJ,"at BUF","3 out of 5 stars","A-","8.8"
"17","Mike Evans",TB,"at SF","3 out of 5 stars","A-","8.8"
"18","Christian Kirk",JAC,"at TEN","3 out of 5 stars","A-","8.6"
"19","Chris Godwin",TB,"at SF","3 out of 5 stars","A-","8.5"
"20","Keenan Allen",LAC,"vs. MIA","2 out of 5 stars","A-","8.5"
"21","Devonta Smith",PHI,"at NYG","2 out of 5 stars","B+","8.2"
"22","Gabe Davis",BUF,"vs. NYJ","3 out of 5 stars","B+","8.0"
"23","Brandon Aiyuk",SF,"vs. TB","3 out of 5 stars","B","8.0"
"24","DJ Moore",CAR,"at SEA","3 out of 5 stars","B","7.9"
"25","Marquise Brown",ARI,"vs. NE","4 out of 5 stars","B","7.8"
"26","Joshua Palmer",LAC,"vs. MIA","2 out of 5 stars","B","7.6"
"27","Juju Smith Schuster",KC,"at DEN","2 out of 5 stars","B","7.5"
"28","Adam Thielen",MIN,"at DET","2 out of 5 stars","B","7.4"
"29","George Pickens",PIT,"vs. BAL","3 out of 5 stars","B","7.2"
"30","Jerry Jeudy",DEN,"vs. KC","4 out of 5 stars","B","7.1"
"31","Donovan Peoples Jones",CLE,"at CIN","3 out of 5 stars","B","6.9"
"32","Michael Gallup",DAL,"vs. HOU","3 out of 5 stars","B","6.9"
"33","Diontae Johnson",PIT,"vs. BAL","3 out of 5 stars","C+","6.9"
"34","Zay Jones",JAC,"at TEN","3 out of 5 stars","C+","6.8"
"35","Jakobi Meyers",NE,"at ARI","4 out of 5 stars","C+","6.8"
"36","Darius Slayton",NYG,"vs. PHI","2 out of 5 stars","C+","6.7"
"37","Nico Collins",HOU,"at DAL","4 out of 5 stars","C+","6.5"
"38","Tyler Boyd",CIN,"vs. CLE","4 out of 5 stars","C+","6.4"
"39","Marquez Valdes Scantling",KC,"at DEN","2 out of 5 stars","C+","6.2"
"40","D.J. Chark Jr.",DET,"vs. MIN","3 out of 5 stars","C","6.1"
"41","Mack Hollins",LV,"at LAR","4 out of 5 stars","C","6.1"
"42","Corey Davis",NYJ,"at BUF","3 out of 5 stars","C","6.0"
"43","Van Jefferson",LAR,"vs. LV","4 out of 5 stars","C","5.9"
